,titles,years,imdb_ratings,metascores,votes
0,Joker,(2019),8.5,59.0,769604
1,Avengers: Endgame,(2019),8.4,78.0,706212
2,Chernobyl,(2019),9.4,,452718
3,Once Upon a Time... in Hollywood,(2019),7.7,83.0,451115
4,Captain Marvel,(2019),6.9,64.0,408309
5,Gisaengchung,(2019),8.6,96.0,385578
6,Star Wars: Episode IX - The Rise of Skywalker,(2019),6.7,53.0,307548
7,1917,(2019),8.3,78.0,292807
8,Knives Out,(2019),7.9,82.0,286031
9,Spider-Man: Far from Home,(2019),7.5,69.0,285167
10,The Irishman,(2019),7.9,94.0,282317
11,The Witcher (2019–,),8.3,,249076
12,John Wick: Chapter 3 - Parabellum,(2019),7.5,73.0,241779
13,Shazam!,(2019),7.1,71.0,227630
14,Game of Thrones (2011–2019) Episode: The Iron Throne,(2019),4.1,,220553
15,Marriage Story,(2019),8.0,94.0,207341
16,Ford v Ferrari,(2019),8.1,81.0,206100
17,Alita: Battle Angel,(2019),7.3,53.0,203886
18,Aladdin,(2019),7.0,53.0,202441
19,Jojo Rabbit,(2019),7.9,58.0,202359
20,Game of Thrones (2011–2019) Episode: The Long Night,(2019),7.5,,200270
21,Us (II),(2019),6.9,81.0,196154
22,Glass,(2019),6.7,43.0,189435
23,The Lion King,(2019),6.9,55.0,187473
24,Game of Thrones (2011–2019) Episode: The Bells,(2019),6.0,,177946
25,Toy Story 4,(2019),7.8,84.0,175998
26,It Chapter Two,(2019),6.6,58.0,172419
27,Ad Astra,(2019),6.6,80.0,160628
28,El Camino: A Breaking Bad Movie,(2019),7.4,72.0,160488
29,The Mandalorian (2019–,),8.7,,160416
30,Uncut Gems,(2019),7.5,90.0,155806
31,Game of Thrones (2011–2019) Episode: The Last of the Starks,(2019),5.5,,152755
32,Fast & Furious Presents: Hobbs & Shaw,(2019),6.5,60.0,147046
33,Midsommar,(2019),7.1,72.0,146248
34,The Boys (2019–,),8.7,,141420
35,Jumanji: The Next Level,(2019),6.7,58.0,137869
36,Dark Phoenix,(2019),5.8,43.0,136029
37,Sex Education (2019–,),8.3,,129324
38,Pokémon Detective Pikachu,(2019),6.6,53.0,123375
39,Game of Thrones (2011–2019) Episode: Winterfell,(2019),7.6,,121823
40,Game of Thrones (2011–2019) Episode: A Knight of the Seven Kingdoms,(2019),7.9,,119952
41,The Gentlemen,(2019),7.9,51.0,118575
42,Godzilla: King of the Monsters,(2019),6.1,48.0,118009
43,6 Underground,(2019),6.1,41.0,117150
44,Terminator: Dark Fate,(2019),6.3,54.0,117065
45,Rocketman (I),(2019),7.3,69.0,110109
46,El hoyo,(2019),7.0,73.0,105993
