,Unnamed: 0,titles,years,imdb_ratings,metascores,votes,n_imdb
0,0,Joker,2019,8.5,59.0,769604,85.0
1,1,Avengers: Endgame,2019,8.4,78.0,706212,84.0
2,2,Once Upon a Time... in Hollywood,2019,7.7,83.0,451115,77.0
3,3,Captain Marvel,2019,6.9,64.0,408309,69.0
4,4,Gisaengchung,2019,8.6,96.0,385578,86.0
5,5,Star Wars: Episode IX - The Rise of Skywalker,2019,6.7,53.0,307548,67.0
6,6,1917,2019,8.3,78.0,292807,83.0
7,7,Knives Out,2019,7.9,82.0,286031,79.0
8,8,Spider-Man: Far from Home,2019,7.5,69.0,285167,75.0
9,9,The Irishman,2019,7.9,94.0,282317,79.0
10,10,John Wick: Chapter 3 - Parabellum,2019,7.5,73.0,241779,75.0
11,11,Shazam!,2019,7.1,71.0,227630,71.0
12,12,Marriage Story,2019,8.0,94.0,207341,80.0
13,13,Ford v Ferrari,2019,8.1,81.0,206100,81.0
14,14,Alita: Battle Angel,2019,7.3,53.0,203886,73.0
15,15,Aladdin,2019,7.0,53.0,202441,70.0
16,16,Jojo Rabbit,2019,7.9,58.0,202359,79.0
17,17,Us (II),2019,6.9,81.0,196154,69.0
18,18,Glass,2019,6.7,43.0,189435,67.0
19,19,The Lion King,2019,6.9,55.0,187473,69.0
20,20,Toy Story 4,2019,7.8,84.0,175998,78.0
21,21,It Chapter Two,2019,6.6,58.0,172419,66.0
22,22,Ad Astra,2019,6.6,80.0,160628,66.0
23,23,El Camino: A Breaking Bad Movie,2019,7.4,72.0,160488,74.0
24,24,Uncut Gems,2019,7.5,90.0,155806,75.0
25,25,Fast & Furious Presents: Hobbs & Shaw,2019,6.5,60.0,147046,65.0
26,26,Midsommar,2019,7.1,72.0,146248,71.0
27,27,Jumanji: The Next Level,2019,6.7,58.0,137869,67.0
28,28,Dark Phoenix,2019,5.8,43.0,136029,58.0
29,29,Pokémon Detective Pikachu,2019,6.6,53.0,123375,66.0
30,30,The Gentlemen,2019,7.9,51.0,118575,79.0
31,31,Godzilla: King of the Monsters,2019,6.1,48.0,118009,61.0
32,32,6 Underground,2019,6.1,41.0,117150,61.0
33,33,Terminator: Dark Fate,2019,6.3,54.0,117065,63.0
34,34,Rocketman (I),2019,7.3,69.0,110109,73.0
35,35,El hoyo,2019,7.0,73.0,105993,70.0
36,36,Zombieland: Double Tap,2019,6.8,55.0,105231,68.0
37,37,Frozen II,2019,7.0,64.0,105060,70.0
38,38,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020,6.2,60.0,100895,62.0
39,39,Doctor Sleep,2019,7.4,59.0,98961,74.0
40,40,Little Women,2019,7.9,91.0,97717,79.0
